Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,migration-and-other-changes,count,49
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,end-population,count,138152
components-of-population-change-local-government-districts,2016-2017,mid-ulster,starting-population,count,145389
components-of-population-change-local-government-districts,2016-2017,mid-ulster,births,count,2172
components-of-population-change-local-government-districts,2016-2017,mid-ulster,deaths,count,1048
components-of-population-change-local-government-districts,2016-2017,mid-ulster,natural-change,count,1124
components-of-population-change-local-government-districts,2016-2017,mid-ulster,internal-inflows,count,3471
components-of-population-change-local-government-districts,2016-2017,mid-ulster,internal-outflows,count,3497
components-of-population-change-local-government-districts,2016-2017,mid-ulster,internal-net,count,-26
components-of-population-change-local-government-districts,2016-2017,mid-ulster,united-kingdom-inflows,count,458
components-of-population-change-local-government-districts,2016-2017,mid-ulster,united-kingdom-outflows,count,531
components-of-population-change-local-government-districts,2016-2017,mid-ulster,united-kingdom-net,count,-73
components-of-population-change-local-government-districts,2016-2017,mid-ulster,rest-of-world-inflows,count,951
components-of-population-change-local-government-districts,2016-2017,mid-ulster,rest-of-world-outflows,count,691
components-of-population-change-local-government-districts,2016-2017,mid-ulster,rest-of-world-net,count,260
components-of-population-change-local-government-districts,2016-2017,mid-ulster,total-inflows,count,4880
components-of-population-change-local-government-districts,2016-2017,mid-ulster,total-outflows,count,4719
components-of-population-change-local-government-districts,2016-2017,mid-ulster,total-net,count,161
components-of-population-change-local-government-districts,2016-2017,mid-ulster,other-changes,count,-247
components-of-population-change-local-government-districts,2016-2017,mid-ulster,migration-and-other-changes,count,-86
components-of-population-change-local-government-districts,2016-2017,mid-ulster,end-population,count,146427
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,starting-population,count,177816
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,births,count,2433
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,deaths,count,1402
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,natural-change,count,1031
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,internal-inflows,count,3505
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,internal-outflows,count,3509
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,internal-net,count,-4
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,united-kingdom-inflows,count,898
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,united-kingdom-outflows,count,930
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,united-kingdom-net,count,-32
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,rest-of-world-inflows,count,1020
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,rest-of-world-outflows,count,529
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,rest-of-world-net,count,491
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,total-inflows,count,5423
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,total-outflows,count,4968
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,total-net,count,455
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,other-changes,count,-306
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,migration-and-other-changes,count,149
components-of-population-change-local-government-districts,2016-2017,newry-mourne-and-down,end-population,count,178996
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,starting-population,count,159593
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,births,count,1589
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,deaths,count,1569
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,natural-change,count,20
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,internal-inflows,count,2956
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,internal-outflows,count,2367
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,internal-net,count,589
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,united-kingdom-inflows,count,1257
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,united-kingdom-outflows,count,1063
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,united-kingdom-net,count,194
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,rest-of-world-inflows,count,475
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,rest-of-world-outflows,count,404
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,rest-of-world-net,count,71
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,total-inflows,count,4688
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,total-outflows,count,3834
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,total-net,count,854
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,other-changes,count,-369
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,migration-and-other-changes,count,485
components-of-population-change-local-government-districts,2016-2017,ards-and-north-down,end-population,count,160098
components-of-population-change-local-government-districts,2017-2018,antrim-and-newtownabbey,starting-population,count,141697
components-of-population-change-local-government-districts,2017-2018,antrim-and-newtownabbey,births,count,1652
components-of-population-change-local-government-districts,2017-2018,antrim-and-newtownabbey,deaths,count,1242
components-of-population-change-local-government-districts,2017-2018,antrim-and-newtownabbey,natural-change,count,410
components-of-population-change-local-government-districts,2017-2018,antrim-and-newtownabbey,internal-inflows,count,4094
